"Occupation","Income","Satisfaction","Predicted","Difference","id"
"Financial accounts managers",40952,7.472,7.47138145885715,0.00061854114284543,"_86"
"Buyers and procurement officers",31454,7.471,7.36108870954157,0.109911290458428,"_87"
"Production and process engineers",38475,7.47,7.44382107344247,0.0261789265575318,"_88"
"Taxation experts",45360,7.469,7.51832770150682,-0.049327701506817,"_89"
"Nursery nurses and assistants",11580,7.468,7.08992654448249,0.37807345551751,"_90"
"Pharmacy and other dispensing assistants",11920,7.458,7.09502496809805,0.362975031901953,"_91"
"Welfare professionals",26568,7.448,7.29948970827101,0.14851029172899,"_92"
"IT business analysts, architects and systems designers",43848,7.442,7.5025274514893,-0.0605274514892997,"_93"
"Educational support assistants",11569,7.442,7.08976132839191,0.352238671608086,"_94"
"Construction project managers and related professionals",42066,7.441,7.48349966737477,-0.0424996673747664,"_95"
"Quality control and planning engineers",34868,7.439,7.4021696406309,0.0368303593690982,"_96"
"Architects",44024,7.433,7.50438289996415,-0.0713828999641484,"_97"
"Public relations professionals",31818,7.426,7.36554555020697,0.0604544497930268,"_98"
"Special needs education teaching professionals",28894,7.424,7.32922607801442,0.0947739219855785,"_99"
"Medical radiographers",31505,7.422,7.36171426126514,0.0602857387348585,"_100"
"Medical secretaries",17314,7.421,7.17377037943129,0.247229620568709,"_101"
"Credit controllers",19724,7.421,7.20765220642818,0.213347793571825,"_102"
"Groundsmen and greenkeepers",18816,7.419,7.19498111548823,0.224018884511765,"_103"
"Hairdressers and barbers",10174,7.417,7.06867324306899,0.348326756931005,"_104"
"Child and early years officers",21634,7.417,7.23393381792898,0.183066182071018,"_105"
"Teaching and other educational professionals",18697,7.413,7.19331202262556,0.219687977374436,"_106"
"Book-keepers, payroll managers and wages clerks",20646,7.411,7.22040194752857,0.190598052471429,"_107"
"Legal professionals",75399,7.406,7.76666932637671,-0.36066932637671,"_108"
"Planning, process and production technicians",29789,7.406,7.34046863810118,0.0655313618988211,"_109"
"Public services associate professionals",28430,7.403,7.32335391172844,0.0796460882715566,"_110"
"Journalists, newspaper and periodical editors",35117,7.402,7.40510278208584,-0.00310278208584336,"_111"
"Environment professionals",33220,7.402,7.38254045639797,0.0194595436020277,"_112"
"Aircraft maintenance and related trades",34511,7.394,7.39794932741752,-0.00394932741751752,"_113"
"Other administrative occupations",15744,7.386,7.15126572836706,0.234734271632939,"_114"
"Business and related associate professionals",30171,7.381,7.34523339324351,0.0357666067564875,"_115"
"Receptionists",12595,7.379,7.10509944382297,0.273900556177034,"_116"
"Programmers and software development professionals",40165,7.377,7.46271689617639,-0.0857168961763914,"_117"
"Vocational and industrial trainers and instructors",26490,7.376,7.29847955846007,0.0775204415399262,"_118"
"Psychologists",34174,7.376,7.39394926740809,-0.0179492674080928,"_119"
"IT operations technicians",29815,7.376,7.34079358110676,0.0352064188932406,"_120"
"Scaffolders, stagers and riggers",30591,7.375,7.3504488277834,0.0245511722165999,"_121"
"Legal associate professionals",29492,7.367,7.33675015296256,0.0302498470374433,"_122"
"Pensions and insurance clerks and assistants",22694,7.366,7.24830164221672,0.11769835778328,"_123"
"Business and related research professionals",32053,7.366,7.36841316847253,-0.00241316847253348,"_124"
"Plant and machine operatives",24278,7.366,7.26948233266987,0.0965176673301293,"_125"
"Office managers",28790,7.366,7.32791249278814,0.0380875072118645,"_126"
"Sales supervisors",18383,7.358,7.18889845622376,0.16910154377624,"_127"
"Engineering technicians",32528,7.357,7.37418608831531,-0.0171860883153094,"_128"
"Draughtspersons",29702,7.352,7.33938064873711,0.0126193512628907,"_129"
"Plumbers and heating and ventilating engineers",27832,7.35,7.31574197185323,0.0342580281467653,"_130"
"Human resources administrative occupations",19633,7.35,7.20638744942529,0.143612550574709,"_131"
"Metal working production and maintenance fitters",29173,7.35,7.33274263098158,0.0172573690184219,"_132"
"Conference and exhibition managers and organisers",24696,7.35,7.27501379198441,0.074986208015587,"_133"
"Electronics engineers",36751,7.348,7.42413794225337,-0.076137942253375,"_134"
"Office supervisors",25138,7.345,7.28083655160091,0.0641634483990945,"_135"
"Houseparents and residential wardens",17420,7.34,7.17527751207618,0.164722487923822,"_136"
"Medical and dental technicians",26922,7.339,7.30406365528126,0.0349363447187363,"_137"
"Business sales executives",32880,7.338,7.37844398814188,-0.0404439881418801,"_138"
"Precision instrument makers and repairers",29334,7.333,7.33476699583627,-0.00176699583627205,"_139"
"Telecommunications engineers",32253,7.329,7.37084767628287,-0.0418476762828677,"_140"
"Residential, day and domiciliary care managers and proprietors",29594,7.328,7.33802858438932,-0.0100285843893229,"_141"
"Senior care workers",17064,7.324,7.17020966458003,0.153790335419968,"_142"
"Inspectors of standards and regulations",28628,7.318,7.32586335022318,-0.00786335022318418,"_143"
"Arts officers, producers and directors",35825,7.315,7.41339592766305,-0.0983959276630451,"_144"
"School midday and crossing patrol occupations",3167,7.314,6.95867644828781,0.355323551712192,"_145"
"Construction and building trades supervisors",33036,7.313,7.38032552981333,-0.0673255298133331,"_146"
"Information technology and telecommunications professionals",40222,7.308,7.46334732236079,-0.155347322360793,"_147"
"Careers advisers and vocational guidance specialists",22752,7.307,7.24908332049308,0.0579166795069188,"_148"
"Sales administrators",19573,7.307,7.20555291696818,0.101447083031823,"_149"
"Health and safety officers",33445,7.3,7.38524256042031,-0.0852425604203129,"_150"
"Sewing machinists",13982,7.297,7.12560278083984,0.171397219160159,"_151"
"Managers and directors in retail and wholesale",29009,7.297,7.33067685792439,-0.0336768579243909,"_152"
"Occupational therapists",27353,7.294,7.30960909547037,-0.0156090954703689,"_153"
"Estate agents and auctioneers",24783,7.291,7.27616203730016,0.0148379626998389,"_154"
"Welfare and housing associate professionals",19156,7.283,7.19973915652252,0.08326084347748,"_155"
"Finance officers",22090,7.278,7.24013374620707,0.03786625379293,"_156"
"Assemblers (vehicles and metal goods)",29845,7.277,7.34116839912711,-0.0641683991271096,"_157"
"Routine inspectors and testers",24787,7.277,7.27621480500792,0.000785194992078075,"_158"
"Beauticians and related occupations",12418,7.271,7.10246379006028,0.168536209939725,"_159"
"IT user support technicians",29457,7.27,7.33631114380991,-0.0663111438099069,"_160"
"Other elementary services occupations",10750,7.269,7.07741321521927,0.191586784780731,"_161"
"Paramedics",36841,7.263,7.42517565703065,-0.162175657030653,"_162"
"Managers and directors in storage and warehousing",32133,7.259,7.36938763569301,-0.11038763569301,"_163"
"Legal secretaries",17951,7.253,7.18280399472101,0.0701960052789898,"_164"
"Transport and distribution clerks and assistants",23583,7.25,7.26023177847213,-0.0102317784721322,"_165"
"Typists and related keyboard occupations",16421,7.248,7.16101178478918,0.0869882152108215,"_166"
"Marketing associate professionals",30051,7.237,7.34373878643894,-0.106738786438936,"_167"
"Chartered surveyors",35480,7.236,7.40936343956087,-0.17336343956087,"_168"
"Product, clothing and related designers",29301,7.224,7.33435235611193,-0.110352356111926,"_169"
"Leisure and travel service occupations",15568,7.222,7.14872165625626,0.0732783437437385,"_170"
"Housing officers",23001,7.222,7.2524338581221,-0.0304338581221018,"_171"
"Officers of non-governmental organisations",21454,7.22,7.2314785584703,-0.0114785584703041,"_172"
"Gardeners and landscape gardeners",17595,7.22,7.17776230099914,0.0422376990008555,"_173"
"Estimators, valuers and assessors",32185,7.22,7.37002056455744,-0.150020564557436,"_174"
"Social workers",28182,7.217,7.32020312514741,-0.103203125147408,"_175"
"Postal workers, mail sorters, messengers and couriers",23178,7.202,7.25481034953161,-0.0528103495316099,"_176"
"Laboratory technicians",21168,7.194,7.22756820440287,-0.033568204402866,"_177"
"Glaziers, window fabricators and fitters",20525,7.193,7.21873542153874,-0.0257354215387382,"_178"
"Electrical and electronic trades",30696,7.193,7.35174887305265,-0.158748873052645,"_179"
"Stock control clerks and assistants",20891,7.19,7.22377011525951,-0.0337701152595145,"_180"
"Local government administrative occupations",20351,7.189,7.21633537877933,-0.0273353787793322,"_181"
"Electricians and electrical fitters",30055,7.185,7.34378863876374,-0.158788638763745,"_182"
"Protective service associate professionals",35510,7.183,7.40971474442003,-0.226714744420027,"_183"
"Graphic designers",25330,7.178,7.28335747440308,-0.105357474403077,"_184"
"Chemical and related process operatives",25307,7.177,7.28305575774891,-0.106055757748909,"_185"
"Elementary sales occupations",12301,7.174,7.10071919871082,0.0732808012891759,"_186"
"National government administrative occupations",20330,7.174,7.2160454351677,-0.0420454351677026,"_187"
"Web design and development professionals",29870,7.169,7.34148065235943,-0.172480652359434,"_188"
"Paper and wood machine operatives",20557,7.157,7.21917635270006,-0.0621763527000576,"_189"
"Housekeepers and related occupations",12947,7.157,7.11032808869447,0.0466719113055261,"_190"
"Science, engineering and production technicians",26710,7.151,7.30132653787227,-0.150326537872272,"_191"
"Artists",28258,7.149,7.32116959305494,-0.172169593054935,"_192"
"Electrical and electronics technicians",28893,7.13,7.32921345451245,-0.199213454512447,"_193"
"Quality assurance technicians",27303,7.129,7.30896709075881,-0.179967090758813,"_194"
"Caretakers",16114,7.126,7.15660008670436,-0.0306000867043634,"_195"
"Library clerks and assistants",12190,7.125,7.09906232286044,0.0259376771395639,"_196"
"Customer service occupations",16525,7.123,7.16250334451526,-0.0395033445152562,"_197"
"Nursing auxiliaries and assistants",15618,7.121,7.14944483982824,-0.0284448398282375,"_198"
"Chemical scientists",35492,7.113,7.4095039764467,-0.2965039764467,"_199"
"Cooks",11346,7.106,7.08640833786792,0.0195916621320773,"_200"
"Elementary administration occupations",11896,7.105,7.09466560400835,0.010334395991646,"_201"
"Sales related occupations",18782,7.103,7.19450443173386,-0.0915044317338554,"_202"
"Butchers",17681,7.103,7.17898184452959,-0.0759818445295943,"_203"
"Restaurant and catering establishment managers and proprietors",23402,7.1,7.2578116729545,-0.157811672954497,"_204"
"Driving instructors",29166,7.1,7.33265453376653,-0.232654533766529,"_205"
"Catering and bar managers",17934,7.096,7.18256363834907,-0.0865636383490669,"_206"
"Metal machining setters and setter-operators",27223,7.095,7.30793916378262,-0.212939163782619,"_207"
"Vehicle technicians, mechanics and electricians",25238,7.095,7.2821501686527,-0.1871501686527,"_208"
"Chefs",17391,7.09,7.17486533780529,-0.0848653378052857,"_209"
"Construction and building trades",26682,7.08,7.30096456693194,-0.220964566931944,"_210"
"Metal working machine operatives",22044,7.08,7.23950961951829,-0.159509619518293,"_211"
"Communication operators",26715,7.078,7.30139116412603,-0.22339116412603,"_212"
"Animal care services occupations",14980,7.073,7.14019106622493,-0.0671910662249333,"_213"
"Prison service officers (below principal officer)",26616,7.071,7.3001109205432,-0.229110920543198,"_214"
"Undertakers, mortuary and crematorium assistants",16526,7.068,7.16251767917215,-0.0945176791721467,"_215"
"Welding trades",26735,7.063,7.30164963455272,-0.238649634552718,"_216"
"Photographers, audio-visual and broadcasting equipment operators",24242,7.047,7.26900480842067,-0.222004808420668,"_217"
"Launderers, dry cleaners and pressers",11041,7.046,7.08181126890817,-0.0358112689081693,"_218"
"Cleaning and housekeeping managers and supervisors",14562,7.042,7.13409771388665,-0.0920977138866501,"_219"
"Merchandisers and window dressers",16239,7.041,7.15839795448282,-0.117397954482821,"_220"
"Large goods vehicle drivers",25602,7.039,7.28692005105288,-0.247920051052878,"_221"
"Packers, bottlers, canners and fillers",16820,7.037,7.16672606860219,-0.129726068602188,"_222"
"Youth and community workers",20240,7.017,7.21480212861404,-0.197802128614036,"_223"
"Furniture makers and other craft woodworkers",20182,7.012,7.21400029279997,-0.202000292799971,"_224"
"Bricklayers and masons",22476,7.006,7.24535944785069,-0.239359447850692,"_225"
"Market research interviewers",7122,7,7.02159755969241,-0.0215975596924087,"_226"
"Other skilled trades",23431,7,7.25819972959817,-0.258199729598172,"_227"
"Carpenters and joiners",24029,6.991,7.26617578768812,-0.275175787688118,"_228"
"Food, drink and tobacco process operatives",18133,6.986,7.18537471632,-0.199374716320005,"_229"
"Kitchen and catering assistants",8865,6.985,7.04864035832268,-0.063640358322675,"_230"
"Sales and retail assistants",10097,6.982,7.06750140046263,-0.0855014004626256,"_231"
"Roundspersons and van salespersons",21375,6.982,7.23039955695004,-0.248399556950041,"_232"
"Other drivers and transport operatives",24420,6.979,7.27136415203139,-0.29236415203139,"_233"
"Quantity surveyors",38855,6.971,7.44810427448007,-0.477104274480071,"_234"
"Retail cashiers and check-out operators",9509,6.968,7.05852573472159,-0.0905257347215871,"_235"
"Cleaners and domestics",8067,6.961,7.03631148482907,-0.075311484829073,"_236"
"Shelf fillers",11174,6.959,7.08381747490801,-0.124817474908014,"_237"
"Assemblers and routine operatives",20161,6.958,7.21370985817211,-0.255709858172108,"_238"
"Elementary process plant occupations",19409,6.94,7.20326932031006,-0.263269320310058,"_239"
"Painters and decorators",22700,6.936,7.24838252706982,-0.312382527069818,"_240"
"Printers",26833,6.921,7.3029153396841,-0.381915339684096,"_241"
"Vehicle and parts salespersons and advisers",21403,6.907,7.23078208665295,-0.323782086652947,"_242"
"IT engineers",27064,6.904,7.30589353013356,-0.40189353013356,"_243"
"Waiters and waitresses",7651,6.893,7.02984946701258,-0.136849467012577,"_244"
"Metal making and treating process operatives",24941,6.881,7.27824467854918,-0.397244678549184,"_245"
"Plasterers",21155,6.88,7.22739019214632,-0.347390192146322,"_246"
"Bakers and flour confectioners",16948,6.873,7.16855455592297,-0.295554555922966,"_247"
"Mobile machine drivers and operatives",25472,6.86,7.28521862597953,-0.425218625979533,"_248"
"Assemblers (electrical and electronic products)",19590,6.846,7.2057894183992,-0.359789418399195,"_249"
"Refuse and salvage occupations",19454,6.844,7.2038962873953,-0.359896287395296,"_250"
"Care workers and home carers",12804,6.844,7.10820601919953,-0.264206019199531,"_251"
"Bus and coach drivers",23095,6.841,7.25369648932175,-0.41269648932175,"_252"
"Roofers, roof tilers and slaters",21921,6.837,7.23783932104828,-0.400839321048275,"_253"
"Taxi and cab drivers and chauffeurs",16416,6.834,7.16094003748566,-0.32694003748566,"_254"
"Van drivers",18744,6.817,7.19397147827033,-0.376971478270328,"_255"
"Elementary storage occupations",18430,6.812,7.18955995368808,-0.377559953688075,"_256"
"Fork-lift truck drivers",21444,6.797,7.23134202373131,-0.43434202373131,"_257"
"Parking and civil enforcement occupations",18065,6.795,7.18441476318917,-0.389414763189167,"_258"
"Call and contact centre occupations",15339,6.78,7.14540505572791,-0.365405055727912,"_259"
"Window cleaners",12561,6.747,7.10459349638647,-0.357593496386468,"_260"
"Construction operatives",21057,6.746,7.22604750109282,-0.480047501092816,"_261"
"Fishing and other elementary agriculture occupations",15679,6.742,7.15032665539059,-0.408326655390595,"_262"
"Security guards and related occupations",20841,6.733,7.22308340856279,-0.490083408562786,"_263"
"Ambulance staff (excluding paramedics)",22854,6.723,7.25045686711876,-0.527456867118761,"_264"
"Plastics process operatives",21066,6.722,7.22617086486541,-0.504170864865412,"_265"
"Bar staff",7317,6.686,7.02464388355939,-0.338643883559386,"_266"
"Care escorts",7343,6.614,7.02504966258565,-0.41104966258565,"_267"
"Sports and leisure assistants",11651,6.607,7.09099253650217,-0.483992536502168,"_268"
"Telephone salespersons",17362,6.605,7.17445304717918,-0.569453047179179,"_269"
"Floorers and wall tilers",23547,6.571,7.25975079262074,-0.688750792620736,"_270"
"Industrial cleaning process occupations",15241,6.563,7.14398350766083,-0.580983507660831,"_271"
"Debt, rent and other cash collectors",17371,6.561,7.17458101189426,-0.613581011894261,"_272"
"Elementary construction occupations",20910,6.389,7.22403097311362,-0.835030973113616,"_273"
"Publicans and managers of licensed premises",25222,6.38,7.2819400828979,-0.901940082897901,"_274"
